
========== LOSS FUNCTIONS ==========
PDE losses:
  PDE 1
  PDE 2
BC losses:
BC[1] = Surface Energy
BC[2] = Ice Heat Flux
BC[3] = Ice Gas Flux
====================================

[1] loss = 1.235  (248.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.202 K, n=1.0328e21 m^-3
[752] loss = 1.06803  (2404.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.2 K, n=1.0328e21 m^-3
[753] loss = 1.06803  (2411.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.195 K, n=1.0327e21 m^-3
[754] loss = 1.06803  (2413.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.195 K, n=1.0327e21 m^-3
[755] loss = 1.06803  (2416.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.195 K, n=1.0326e21 m^-3
[756] loss = 1.06803  (2419.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.195 K, n=1.0325e21 m^-3
[757] loss = 1.06802  (2420.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.195 K, n=1.0324e21 m^-3
[758] loss = 1.06802  (2423.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.194 K, n=1.0323e21 m^-3
[759] loss = 1.06802  (2427.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.192 K, n=1.0322e21 m^-3
[760] loss = 1.06802  (2430.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.184 K, n=1.0318e21 m^-3
[761] loss = 1.06802  (2433.0s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=1.9878571274351075e-5   physical≈6.48983296303057 W/m^3
PDE[2] gas eq : scaled=7.236315005342109e-6   physical≈3.1651500028363414e20 m^-3/s
BC[1] surface : scaled=1.0388571601126595   physical≈0.13315069950834366 W/m^2
BC[2] ice heat : scaled=0.014567183288445338   physical≈175.68259091245486 W/m^2
BC[3] ice gas : scaled=0.014567531816078083   physical≈1.4201314737072495e22 m^-2/s
Total PDE = 2.7114886279693185e-5
Total BC  = 1.0679918752171829
Grand Total = 1.0680189901034625
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.177 K, n=1.0312e21 m^-3
[762] loss = 1.06801  (2434.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.155 K, n=1.0295e21 m^-3
[763] loss = 1.06805  (2441.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.131 K, n=1.0276e21 m^-3
[764] loss = 1.06802  (2500.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.136 K, n=1.0277e21 m^-3
[765] loss = 1.06802  (2601.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.136 K, n=1.0277e21 m^-3
[766] loss = 1.068  (2611.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.136 K, n=1.0277e21 m^-3
[767] loss = 1.068  (2612.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.136 K, n=1.0276e21 m^-3
[768] loss = 1.068  (2619.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.137 K, n=1.0276e21 m^-3
[769] loss = 1.068  (2623.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.137 K, n=1.0276e21 m^-3
[770] loss = 1.06799  (2628.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.143 K, n=1.0275e21 m^-3
[771] loss = 1.06799  (2631.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.143 K, n=1.0274e21 m^-3
[772] loss = 1.06799  (2632.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.148 K, n=1.0273e21 m^-3
[773] loss = 1.06799  (2635.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.147 K, n=1.0272e21 m^-3
[774] loss = 1.06799  (2646.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.147 K, n=1.0272e21 m^-3
[775] loss = 1.06799  (2651.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.145 K, n=1.0272e21 m^-3
[776] loss = 1.06799  (2695.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.145 K, n=1.0272e21 m^-3
[777] loss = 1.06799  (2767.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.145 K, n=1.0272e21 m^-3
[778] loss = 1.06799  (2771.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.144 K, n=1.0272e21 m^-3
[779] loss = 1.06799  (2772.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.144 K, n=1.0272e21 m^-3
[780] loss = 1.06799  (2776.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.143 K, n=1.0272e21 m^-3
[781] loss = 1.06799  (2778.0s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=1.9889943124563088e-5   physical≈6.491689003274639 W/m^3
PDE[2] gas eq : scaled=7.213404645232408e-6   physical≈3.160135557415908e20 m^-3/s
BC[1] surface : scaled=1.0388278790824261   physical≈0.13314882301498124 W/m^2
BC[2] ice heat : scaled=0.014566115133321272   physical≈175.67614973243641 W/m^2
BC[3] ice gas : scaled=0.014566479361834188   physical≈1.4200801729649003e22 m^-2/s
Total PDE = 2.7103347769795496e-5
Total BC  = 1.0679604735775814
Grand Total = 1.0679875769253513
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.141 K, n=1.0273e21 m^-3
[782] loss = 1.06799  (2781.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.135 K, n=1.0273e21 m^-3
[783] loss = 1.06799  (2788.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.131 K, n=1.0274e21 m^-3
[784] loss = 1.06799  (2789.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.132 K, n=1.0274e21 m^-3
[785] loss = 1.06799  (2797.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.131 K, n=1.0274e21 m^-3
[786] loss = 1.06799  (2805.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.131 K, n=1.0274e21 m^-3
[787] loss = 1.06799  (2807.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.123 K, n=1.0274e21 m^-3
[788] loss = 1.06798  (2811.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.113 K, n=1.0273e21 m^-3
[789] loss = 1.06798  (2813.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.073 K, n=1.0266e21 m^-3
[790] loss = 1.06798  (2815.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.064 K, n=1.0264e21 m^-3
[791] loss = 1.06797  (2817.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.018 K, n=1.0255e21 m^-3
[792] loss = 1.06796  (2820.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.973 K, n=1.0247e21 m^-3
[793] loss = 1.06796  (2829.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.973 K, n=1.0247e21 m^-3
[794] loss = 1.06796  (2843.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.973 K, n=1.0247e21 m^-3
[795] loss = 1.06796  (2849.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.005 K, n=1.0253e21 m^-3
[796] loss = 1.06796  (2862.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.007 K, n=1.0253e21 m^-3
[797] loss = 1.06796  (2864.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.997 K, n=1.0251e21 m^-3
[798] loss = 1.06796  (2868.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.997 K, n=1.025e21 m^-3
[799] loss = 1.06796  (2870.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.99 K, n=1.0249e21 m^-3
[800] loss = 1.06796  (2871.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.957 K, n=1.0244e21 m^-3
checkpoint saved at iteration 800 -> checkpoints\checkpoint_100au_iter800.jls
[801] loss = 1.06796  (2876.1s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=1.9949338816365685e-5   physical≈6.501374574789673 W/m^3
PDE[2] gas eq : scaled=7.5546375193119e-6   physical≈3.234017611048847e20 m^-3/s
BC[1] surface : scaled=1.0387993375727687   physical≈0.13314699388881043 W/m^2
BC[2] ice heat : scaled=0.014564377143799717   physical≈175.66566881790433 W/m^2
BC[3] ice gas : scaled=0.014565489118353625   physical≈1.4200319029266098e22 m^-2/s
Total PDE = 2.7503976335677586e-5
Total BC  = 1.067929203834922
Grand Total = 1.0679567078112577
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.936 K, n=1.0239e21 m^-3
[802] loss = 1.06795  (2877.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.897 K, n=1.0229e21 m^-3
[803] loss = 1.06795  (2879.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.88 K, n=1.0213e21 m^-3
[804] loss = 1.06795  (2919.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.906 K, n=1.0201e21 m^-3
[805] loss = 1.06794  (2921.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.912 K, n=1.0212e21 m^-3
[806] loss = 1.06794  (2925.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.923 K, n=1.0216e21 m^-3
[807] loss = 1.06794  (2929.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.925 K, n=1.0218e21 m^-3
[808] loss = 1.06794  (2937.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.919 K, n=1.0217e21 m^-3
[809] loss = 1.06794  (2943.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.919 K, n=1.0215e21 m^-3
[810] loss = 1.06794  (2944.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.907 K, n=1.0213e21 m^-3
[811] loss = 1.06794  (2946.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.899 K, n=1.0209e21 m^-3
[812] loss = 1.06794  (2948.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.873 K, n=1.0198e21 m^-3
[813] loss = 1.06794  (2950.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.858 K, n=1.0196e21 m^-3
[814] loss = 1.06794  (2956.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.831 K, n=1.0193e21 m^-3
[815] loss = 1.06795  (2967.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.828 K, n=1.0193e21 m^-3
[816] loss = 1.06795  (2971.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.799 K, n=1.0187e21 m^-3
[817] loss = 1.06794  (2975.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.821 K, n=1.019e21 m^-3
[818] loss = 1.06794  (2976.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.855 K, n=1.0196e21 m^-3
[819] loss = 1.06794  (2980.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.855 K, n=1.0196e21 m^-3
[820] loss = 1.06793  (2982.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.873 K, n=1.0198e21 m^-3
[821] loss = 1.06793  (2983.5s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.0021841945498095e-5   physical≈6.513178036017333 W/m^3
PDE[2] gas eq : scaled=7.255957096285703e-6   physical≈3.169442797787649e20 m^-3/s
BC[1] surface : scaled=1.038773222272766   physical≈0.13314532022797032 W/m^2
BC[2] ice heat : scaled=0.014565942983472737   physical≈175.6751116137738 W/m^2
BC[3] ice gas : scaled=0.01456666971950134   physical≈1.4200894518805198e22 m^-2/s
Total PDE = 2.72777990417838e-5
Total BC  = 1.06790583497574
Grand Total = 1.0679331127747818
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.859 K, n=1.0195e21 m^-3
[822] loss = 1.06793  (2986.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.838 K, n=1.0189e21 m^-3
[823] loss = 1.06793  (2988.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.811 K, n=1.0179e21 m^-3
[824] loss = 1.06791  (2993.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.839 K, n=1.0161e21 m^-3
[825] loss = 1.06788  (2995.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.852 K, n=1.0158e21 m^-3
[826] loss = 1.06787  (3002.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.848 K, n=1.0145e21 m^-3
[827] loss = 1.06786  (3006.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=22.888 K, n=1.0122e21 m^-3
[828] loss = 1.06783  (3008.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.054 K, n=1.0146e21 m^-3
[829] loss = 1.0678  (3009.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.013 K, n=1.0138e21 m^-3
[830] loss = 1.06777  (3016.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.011 K, n=1.0136e21 m^-3
[831] loss = 1.06775  (3018.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.047 K, n=1.0143e21 m^-3
[832] loss = 1.06775  (3020.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.084 K, n=1.016e21 m^-3
[833] loss = 1.06782  (3028.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.083 K, n=1.0158e21 m^-3
[834] loss = 1.06779  (3075.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.08 K, n=1.0158e21 m^-3
[835] loss = 1.06775  (3084.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.081 K, n=1.0158e21 m^-3
[836] loss = 1.06775  (3085.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.081 K, n=1.0158e21 m^-3
[837] loss = 1.06774  (3087.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.081 K, n=1.0158e21 m^-3
[838] loss = 1.06775  (3091.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.081 K, n=1.0158e21 m^-3
[839] loss = 1.06774  (3096.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.081 K, n=1.0158e21 m^-3
[840] loss = 1.06774  (3098.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.081 K, n=1.0158e21 m^-3
[841] loss = 1.06774  (3101.7s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=1.988997691690248e-5   physical≈6.491694517852119 W/m^3
PDE[2] gas eq : scaled=6.255598868568387e-6   physical≈2.9428627726051597e20 m^-3/s
BC[1] surface : scaled=1.0385657413340261   physical≈0.13313202257309664 W/m^2
BC[2] ice heat : scaled=0.014576217615304653   physical≈175.7370601914456 W/m^2
BC[3] ice gas : scaled=0.01457682235084992   physical≈1.420584250405115e22 m^-2/s
Total PDE = 2.6145575785470868e-5
Total BC  = 1.0677187813001807
Grand Total = 1.0677449268759662
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.082 K, n=1.0158e21 m^-3
[842] loss = 1.06774  (3103.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=23.085 K, n=1.0158e21 m^-3
